Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
Two-Bedroom Serviced Apartment Pullman  City Centre Residences,2,3,"1,500 sqft",18500,"Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Comfortable 1 Bedroom L Free Clean L Close Metro,2,3,"1,200 sqft",18500,"Mesk, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0250231,55.18347619999999
Two-Bedroom Serviced Apartment Pullman  City Centre Residences,2,3,"1,500 sqft",18500,"Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Alluring 2Br At Creek Horizon Tower 2 Dubai Creek Harbour By Deluxe Holiday Homes,2,3,"1,200 sqft",18500,"Mesk, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0250231,55.18347619999999
Superb 1Bhk With Balcony | Fully Furnished | All Bills Inn,2,2,"1,827 sqft",18500,"Murjan 1, Murjan, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0816537,55.1396324
Modern Living | Luxurious | Bright | Damac Hills,1,1,743 sqft,18500,"Beach Vista 1, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0987642,55.1401943
City View | Weekly Cleaning | Bills Included,2,3,"1,273 sqft",18500,"1 Residences, Wasl 1, Al Kifaf, Bur Dubai, Dubai",Apartment,25.2327163,55.2954647
Beach Access | Stylish 2 Br + Maids Room | Fairmont North,Studio,1,580 sqft,18500,"The Address Dubai Mall, Downtown Dubai, Dubai",Apartment,25.1998429,55.277452
Special Offer! Free Access To Pool Gym | Fully Furnished,2,2,"1,398 sqft",18500,"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai",Apartment,25.1911669,55.2698645
Luxuriously Furnished 2Bhk+Maid Room || Spacious Layout || Near To Metro,1,2,902 sqft,18500,"The Atlantic, Dubai Marina, Dubai",Apartment,25.0782641,55.140127
Free Beach Access! Premium 3Br At Palm,2,2,"1,295 sqft",18500,"Sapphire Residence, Dubai Silicon Oasis (DSO), Dubai",Apartment,25.1144424,55.3898842
"Luxury Studio: Fully Furnished, High Quality - All Bills Paid, Conveniently Close To Metro!",2,3,"1,506 sqft",18500,"Shoreline Apartments, Palm Jumeirah, Dubai",Apartment,25.1124317,55.13897799999999
Next To Metro Station | Spacious 1Br | Bills Added,2,2,"1,732 sqft",18500,"Azure, Dubai Marina, Dubai",Apartment,25.0729448,55.1372564
Inclusive Of Bills || Pay Monthly Live As Long As You Want,1,1,775 sqft,18500,"Safeer Tower, Dubai Marina, Dubai",Apartment,25.0783206,55.1418324
Close To Metro | Fully Furnished | All Bills Included,2,3,"1,480 sqft",18500,"Fairfield Tower, Park Island, Dubai Marina, Dubai",Apartment,25.0816782,55.142024
Full Marina View | Brand New Furnishings | Serene Unit,1,1,681 sqft,18500,"5242 Tower 1, 5242 Towers, Dubai Marina, Dubai",Apartment,25.0805422,55.1403426
"Fascinating & Pleasing 3Br In Palm Jumeirah, With Beach Access",2,2,"1,415 sqft",18500,"Golf Tower 1, Golf Tower, The Views, Dubai",Apartment,25.0922161,55.1682184
Alluring 2Br At Creek Horizon Tower 2 Dubai Creek Harbour By Deluxe Holiday Homes,2,3,"1,200 sqft",18500,"Mesk, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0250231,55.18347619999999
Classic 1Br At Mag 510 Dubai South By Deluxe Holiday Homes,1,1,933 sqft,18500,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
Classic 1Br At Mag 510 Dubai South By Deluxe Holiday Homes,1,1,933 sqft,18500,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
Opulent Two Bedroom Apartment In Five Palm Jumeirah || Fully Furnished || Short Term || Bills & Maintenance Included,3,4,"1,633 sqft",18500,"Centaury, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Villa,24.9976767,55.3759253
"Huge Terrace, Amazing 1 B/R Apt Al Jaddaf",2,3,"1,184 sqft",18500,"JAM Marina Residence, Dubai Marina, Dubai",Apartment,25.0809096,55.14043059999999
Contemporary Designed Studio -Luxurious Interiors | All Bills Inclusive,1,2,919 sqft,18570,"LIV Residence, Dubai Marina, Dubai",Apartment,25.0811001,55.14067730000001
Best Offer |  1 Bedroom  L Free Cleaning L Additional Fees Applicable L Utility Bills Included,Studio,1,544 sqft,18570,"The Address Dubai Marina (Mall Hotel), Dubai Marina, Dubai",Apartment,25.0771646,55.1405298
Stunning 2 Br In Vera Residence Business Bay,1,1,811 sqft,18600,"Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
"Include All* | Was 13,000 Now 12,000 | Huge Sized | 0 Commission",3,4,"1,991 sqft",18600,"Airport Road Area, Al Garhoud, Dubai",Apartment,25.2476496,55.3524554
Contemporary-Designed Fully Furnished One Bedroom Close To Dubai'S Beaches And Mall Of The Emirates,1,1,907 sqft,18700,"Ocean Heights, Dubai Marina, Dubai",Apartment,25.0905232,55.14871979999999
Bluewater Island | Sea View | Maids Room I Full Service Apt,1,2,707 sqft,18700,"Binghatti Canal Building, Business Bay, Dubai",Apartment,25.1859701,55.2862193
Bluewater Island | Sea View | Maids Room I Full Service Apt,1,2,707 sqft,18700,"Binghatti Canal Building, Business Bay, Dubai",Apartment,25.1859701,55.2862193
"Superior 1 Bhk,Serviced, Gulf Oasis Hotel, No Commission",2,3,"1,456 sqft",18750,"Marina Crown, Dubai Marina, Dubai",Apartment,25.0898792,55.1482325
Hot Offer | Fully Furnished | Free Gym Gas & Maintenance | Flexible Terms,1,2,832 sqft,18800,"Binghatti Gateway, Al Jaddaf, Dubai",Apartment,25.2134893,55.318956
Big 2 Bed W/ Large Balcony In Bluewaters By Livbnb,Studio,1,499 sqft,18899,"The Palm Tower, Palm Jumeirah, Dubai",Apartment,25.1137853,55.1399566
Magnificent 5 Bedroom Villa With Pool,1,1,744 sqft,18900,"Beach Vista 1, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0987642,55.1401943
Fully Serviced | Urban Living | High-End | Ultra Luxury,3,3,"1,850 sqft",18900,"Oud Metha, Bur Dubai, Dubai",Apartment,25.239126,55.3129667
Magnificent 5 Bedroom Villa With Pool,1,1,744 sqft,18900,"Beach Vista 1, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0987642,55.1401943
Superb Deluxe Room With Balcony | Free Cleaning | Close To Metro,2,2,"1,059 sqft",18900,"Park Central, Business Bay, Dubai",Apartment,25.178992,55.271102
Resort Amenities | Fully Furnished | All Bills Included,1,2,760 sqft,18990,"The Residences at District One, District One, Mohammed Bin Rashid City, Dubai",Apartment,25.1663758,55.2766574
High Floor | Lake View | Beach Access,2,3,"1,536 sqft",18990,"DAMAC Heights, Dubai Marina, Dubai",Apartment,25.08728,55.145627
Jbr The Walk Rimal 1 |  Beachside | Marina View | Upgraded 2 Bedroom,1,1,931 sqft,18999,"Palm Jumeirah, Dubai",Apartment,25.1124317,55.13897799999999
Luxurious 2Br Apartment In The Heart Of Downtown,2,4,"2,100 sqft",18999,"City Walk, Al Wasl, Dubai",Apartment,25.2074895,55.2625253
Furnished 2Br | 5 Mins To Tram | Near To Beach,1,2,748 sqft,18999,"Shoreline Apartments, Palm Jumeirah, Dubai",Apartment,25.1124317,55.13897799999999
Summer Special Offer | Luxury Apartment | Fully Furnished | Burj Khalifa View,1,1,703 sqft,18999,"The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
Elegant 2-Bhk | Near Metro | No Commission | Bills Included,2,2,"1,150 sqft",18999,"BLVD Heights Tower 2, BLVD Heights, Downtown Dubai, Dubai",Apartment,25.1925587,55.26953959999999
Spacious Lux Type 2Br  | Close To Mall Of Emirates,4,5,"2,190 sqft",18999,"Elite Business Bay Residence, Business Bay, Dubai",Apartment,25.1799797,55.2659768
Livbnb Suites - Luxury 3 Bedroom W/ Sea View,4,4,"2,191 sqft",18999,"Elite Business Bay Residence, Business Bay, Dubai",Apartment,25.1799797,55.2659768
Luxurious 1-Bedroom W/ Water View | Sadaf 3,3,3,"1,299 sqft",18999,"Binghatti Avenue, Al Jaddaf, Dubai",Apartment,25.2122955,55.3164952
Fully Furnished Studio In Warsan 4 - Fully Facility Building - Available From 4Th November,3,3,"1,396 sqft",18999,"Binghatti Avenue, Al Jaddaf, Dubai",Apartment,25.2122955,55.3164952
Sophisticated 1Br At The Address Residences In Jbr By Deluxe Holiday Homes,1,2,748 sqft,18999,"Shoreline Apartments, Palm Jumeirah, Dubai",Apartment,25.1124317,55.13897799999999
Livbnb Suites - Luxury 3 Bedroom W/ Sea View,4,4,"2,191 sqft",18999,"Elite Business Bay Residence, Business Bay, Dubai",Apartment,25.1799797,55.2659768
"Bohemian Treasure 1Br, 5-Min To Dubai Mall",1,1,711 sqft,18999,"Beach Vista 2, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0987642,55.1401943
"Bohemian Treasure 1Br, 5-Min To Dubai Mall",1,1,711 sqft,18999,"Beach Vista 2, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0987642,55.1401943
Sophisticated 1Br At The Address Residences In Jbr By Deluxe Holiday Homes,1,2,748 sqft,18999,"Shoreline Apartments, Palm Jumeirah, Dubai",Apartment,25.1124317,55.13897799999999
Summer Deal | Studio In The Heart Of Business Bay,Studio,1,547 sqft,18999,"The Address Dubai Mall, Downtown Dubai, Dubai",Apartment,25.1998429,55.277452
Spacious Lux Type 2Br  | Close To Mall Of Emirates,4,5,"2,190 sqft",18999,"Elite Business Bay Residence, Business Bay, Dubai",Apartment,25.1799797,55.2659768
Deal For The Month | Spacious Studio | Free Housekeeping |,1,1,848 sqft,18999,"Dubai Marina Mall, Dubai Marina, Dubai",Apartment,25.07643,55.140504
Summer Limited Offer | Specious Studio | Bloom Heights,3,2,"1,800 sqft",18999,"Marina Pinnacle, Dubai Marina, Dubai",Apartment,25.0886968,55.1481894
3Bdr Villa In Dubai South I With Green Garden I Ideal For Families,1,1,875 sqft,18999,"Cayan Tower, Dubai Marina, Dubai",Apartment,25.0870373,55.1451496
2010 Roma (Mellow Studio),1,2,708 sqft,18999,"Bellevue Tower 2, Bellevue Towers, Downtown Dubai, Dubai",Apartment,25.1870676,55.2758253
"Bohemian Treasure 1Br, 5-Min To Dubai Mall",1,1,711 sqft,18999,"Beach Vista 2, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0987642,55.1401943
Summer Promo | Brand New 1Bhk With Balcony | Serviced Apartment | All Bills Inn | Close To Moe,3,5,"1,500 sqft",18999,"Alfa Villas, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Villa,25.0490689,55.2080201
Lavishly Furnished Studio || Amazing Interior || Call Us Now,1,2,922 sqft,18999,"Sanibel Tower, Park Island, Dubai Marina, Dubai",Apartment,25.081736,55.1413342
Sea View | Weekly Cleaning | Bills Included,1,1,607 sqft,18999,"Act One | Act Two Towers, Opera District, Downtown Dubai, Dubai",Apartment,25.1923154,55.2711273
"All Bills  Included || Panoramic City View , Marina View , New Apartment",2,3,"1,371 sqft",18999,"DAMAC Maison Dubai Mall Street, Downtown Dubai, Dubai",Apartment,25.195023,55.2835529
Inviting Studio | Near Uae Exchange Metro Station,1,1,675 sqft,18999,"Burj Royale, Downtown Dubai, Dubai",Apartment,25.1916802,55.2801754
Amazingly Furnished Studio || Ready To Move In || Call Us Now,2,2,"1,050 sqft",18999,"Creek Gate Tower 1, Creek Gate, Dubai Creek Harbour, Dubai",Apartment,25.2064112,55.3471756
Cozy Studio In Difc | Fully Furnished | All Bills Included,2,2,"1,090 sqft",18999,"Downtown Views II Tower 3, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
Elegant 2-Bhk | Near Metro | No Commission | Bills Included,2,2,"1,150 sqft",18999,"BLVD Heights Tower 2, BLVD Heights, Downtown Dubai, Dubai",Apartment,25.1925587,55.26953959999999
2010 Roma (Mellow Studio),1,2,708 sqft,18999,"Bellevue Tower 2, Bellevue Towers, Downtown Dubai, Dubai",Apartment,25.1870676,55.2758253
2010 Roma (Mellow Studio),1,2,708 sqft,18999,"Bellevue Tower 2, Bellevue Towers, Downtown Dubai, Dubai",Apartment,25.1870676,55.2758253
Livbnb Suites - Homely 2 Br In Downtown Close To Dubai Mall,2,4,"2,100 sqft",18999,"City Walk, Al Wasl, Dubai",Apartment,25.2074895,55.2625253
1 Bedroom In Downtown,1,1,986 sqft,18999,"The Residence 3, The Residences, Downtown Dubai, Dubai",Apartment,25.1925976,55.2733058
No Commission | Trending And Cozy Studio | Fully Furnished | Free Dewa/Wifi,2,1,729 sqft,18999,"Collective Tower 1, Collective, Dubai Hills Estate, Dubai",Apartment,25.2048493,55.2707828
1 Bedroom In Downtown,1,1,986 sqft,18999,"The Residence 3, The Residences, Downtown Dubai, Dubai",Apartment,25.1925976,55.2733058
"All Bills  Included || Panoramic City View , Marina View , New Apartment",2,3,"1,371 sqft",18999,"DAMAC Maison Dubai Mall Street, Downtown Dubai, Dubai",Apartment,25.195023,55.2835529
Luxurious One Bedroom With Canal View,6,6,"6,708 sqft",180000,"Garden Homes Frond L, Garden Homes Palm Jumeirah, Palm Jumeirah, Dubai",Villa,25.1162331,55.1227156
Luxurious One Bedroom With Canal View,6,6,"6,708 sqft",180000,"Garden Homes Frond L, Garden Homes Palm Jumeirah, Palm Jumeirah, Dubai",Villa,25.1162331,55.1227156
Dubai Creek Harbour 3 Bed 1402,5,4,"7,090 sqft",187000,"Garden Homes Frond L, Garden Homes Palm Jumeirah, Palm Jumeirah, Dubai",Villa,25.1162331,55.1227156
"All Inclusive Studio | Monthly | No Agency Fee, No Electricity, Water & Internet Bills",2,2,902 sqft,19000,"Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
Luxury Two Bedroom Apartment In Barsha Heights,1,1,801 sqft,19000,"Belgravia 3, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0596935,55.1997606
"Pay Monthly Basis 3000 || The Cheapest Place To Stay || Bus Stop , Groceries , Pharmacies , Parks",1,1,882 sqft,19000,"DAMAC Maison Dubai Mall Street, Downtown Dubai, Dubai",Apartment,25.195023,55.2835529
Superior Quality Furnishing || Prime Location Nearest To Bus Stop || Fully Facility Building,2,2,"1,020 sqft",19000,"Burj Royale, Downtown Dubai, Dubai",Apartment,25.1916802,55.2801754
1Br Modern &Classy Furnished- Jvc Avail Now,1,2,780 sqft,19000,"Bahar 6, Bahar, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0780657,55.1364058
City View | Furnished | Flexible Terms,1,1,742 sqft,19000,"Downtown Views II Tower 2, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
Luxury 2Br Apartment | All Bills Included,1,1,740 sqft,19000,"Downtown Views II Tower 2, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
Summer Offer !! Studio Room !! Free Bills,1,1,"1,064 sqft",19000,"The Residence 1, The Residences, Downtown Dubai, Dubai",Apartment,25.1925976,55.2733058
"Studio Available For Monthly  Rent  International City Dubai , Direct From Landlord. .",1,1,877 sqft,19000,"Bellevue Towers, Downtown Dubai, Dubai",Apartment,25.1870676,55.2758253
Golf Course View Luxury 5Br + M Villa,2,3,"1,258 sqft",19000,"The Torch, Dubai Marina, Dubai",Apartment,25.087942,55.14750000000001
Spacious Marina Two Bedroom,1,1,744 sqft,19000,"Downtown Views II Tower 1, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
Stylish Apartment | Best Location | Great Location,2,2,"1,100 sqft",19000,"17 Icon Bay, Dubai Creek Harbour, Dubai",Apartment,25.2039806,55.3457334
Newly Furnished | 2Br+Maids In Citywalk,1,2,"1,119 sqft",19000,"Bluewaters Residences, Bluewaters Island, Dubai",Apartment,25.0792222,55.11966839999999
Best Stay One Br Apt | Promotion Price I Address Dubai Mall,1,1,982 sqft,19000,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
Delightful 3Br Townhouse At Damac Hills 2 Dubailand By Deluxe Holiday Homes,2,3,"1,356 sqft",19000,"Reehan 1, Reehan, Old Town, Downtown Dubai, Dubai",Apartment,25.1902925,55.278184
No Commission L Beachfront Studio In Jbr L  Rimal,2,2,"1,279 sqft",19000,"The Torch, Dubai Marina, Dubai",Apartment,25.087942,55.14750000000001
Dashing 1Br With Full Marina Waterfront View,1,1,900 sqft,19000,"Waves Tower, Business Bay, Dubai",Apartment,25.1831647,55.272887
Premium 1Br At The Address Residences Dubai Marina By Deluxe Holiday Homes,2,3,"1,226 sqft",19000,"Goldcrest Views 1, JLT Cluster V, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0780086,55.1511098
Gorgeous Business Bay Apartment With Balcony,1,1,721 sqft,19000,"Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
2 Br Luxury Marina View |The Address Beach Residences Jbr,1,1,"1,054 sqft",19000,"29 Boulevard 2, 29 Boulevard, Downtown Dubai, Dubai",Apartment,25.1918989,55.2727574
Supreme Living In Business Bay,1,2,"1,183 sqft",19000,"Trident Grand Residence, Dubai Marina, Dubai",Apartment,25.0831549,55.14090299999999
Spacious Marina Two Bedroom,1,1,744 sqft,19000,"Downtown Views II Tower 1, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
Placid Studio At Afnan 4 Midtown Dubai Production City By Deluxe Holiday Homes,2,3,"1,507 sqft",19000,"Amna, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Hot Deal Amazing 2 Bedroom With Seaview,2,2,"1,173 sqft",19000,"Shams 4, Shams, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0728716,55.129994
1Br Modern &Classy Furnished- Jvc Avail Now,1,2,780 sqft,19000,"Bahar 6, Bahar, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0780657,55.1364058
Peaceful Studio At Marina Diamond 3 Dubai Marina By Deluxe Holiday Homes,1,2,"1,163 sqft",19000,"SLS Dubai Hotel & Residences, Business Bay, Dubai",Apartment,25.1846151,55.2923476
Placid Studio At Afnan 4 Midtown Dubai Production City By Deluxe Holiday Homes,2,3,"1,507 sqft",19000,"Amna, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Dashing 1Br With Full Marina Waterfront View,1,1,900 sqft,19000,"Waves Tower, Business Bay, Dubai",Apartment,25.1831647,55.272887
Spectacular 3+1 Bed | Stunning Burj Khalifa Views,1,1,651 sqft,19000,"Bay Central, Dubai Marina, Dubai",Apartment,25.0786645,55.1375328
Business Bay | Fully Furnished | All Bills Included,2,3,"1,510 sqft",19000,"Noora, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Community View | Weekly Cleaning | Bills Included,Studio,1,300 sqft,19000,"Dukes The Palm, Palm Jumeirah, Dubai",Hotel Apartment,25.1163345,55.137846
"Brand New 1Br, Beach Access- Bills Included",2,2,"1,277 sqft",19000,"Meera Tower, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Brand New 1Bhk! All Inclusive ! No Hidden Charges,2,4,"1,777 sqft",19000,"The Fairmont Palm Residences, Palm Jumeirah, Dubai",Apartment,25.1099294,55.1410099
Spacious 1Bdr Apartment With Office / Downtown,1,1,789 sqft,19000,"West Avenue, Dubai Marina, Dubai",Apartment,25.0740411,55.1391047
Brand New 1Bhk! All Inclusive ! No Hidden Charges,2,4,"1,777 sqft",19000,"The Fairmont Palm Residences, Palm Jumeirah, Dubai",Apartment,25.1099294,55.1410099
Hot Deal Amazing 2 Bedroom With Seaview,2,2,"1,173 sqft",19000,"Shams 4, Shams, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0728716,55.129994
2 Br Luxury Marina View |The Address Beach Residences Jbr,1,1,"1,054 sqft",19000,"29 Boulevard 2, 29 Boulevard, Downtown Dubai, Dubai",Apartment,25.1918989,55.2727574
1 Bed Fully Furnished All Bills Included,1,1,720 sqft,19000,"Downtown Views II Tower 2, Downtown Views II, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
Lovely 2Br | Dubai Marina | Sea View | 10 Min From Beach,2,2,"1,609 sqft",19000,"The Royal Oceanic, Dubai Marina, Dubai",Apartment,25.0843314,55.1416791
Delightful 2Br At Bloom Heights B Jvc By Deluxe Holiday Homes,1,2,890 sqft,19000,"DAMAC Heights, Dubai Marina, Dubai",Apartment,25.08728,55.145627
Upgraded 2 Bedroom+Maids | Shoreline 19 | Park View,1,1,"1,330 sqft",19000,"Sadaf 6, Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0809595,55.1373993
Business Bay | Fully Furnished | All Bills Included,2,3,"1,510 sqft",19000,"Noora, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
No Commission | 1Br Apartment | District One |  Near Downtown,1,2,947 sqft,19000,"DAMAC Heights, Dubai Marina, Dubai",Apartment,25.08728,55.145627
Prime Location Paradise: 3-Bedroom Residence With Maids On A High Floor With Burj Khalifa Views,1,2,"1,000 sqft",19000,"Boulevard Point, Downtown Dubai, Dubai",Apartment,25.1933096,55.28091870000001
Newly Furnished | 2Br+Maids In Citywalk,1,2,"1,119 sqft",19000,"Bluewaters Residences, Bluewaters Island, Dubai",Apartment,25.0792222,55.11966839999999
Near To Metro And Dubai Mall | Pool Access,3,3,"1,593 sqft",19000,"Al Ghurair Apartments, Al Rigga, Deira, Dubai",Apartment,25.268345,55.3180321
Spacious 2Bk(Free Utility Bills +Housekeeping)*Standard,3,3,"1,850 sqft",19100,"Oud Metha, Bur Dubai, Dubai",Apartment,25.239126,55.3129667
Modern 1Br Located In The Heart Of Downtown,Studio,1,540 sqft,19100,"The Address Dubai Marina (Mall Hotel), Dubai Marina, Dubai",Apartment,25.0771646,55.1405298
Resort Life Style / Peaceful & Calm Meydan Avenue Apartment,2,2,"1,487 sqft",19250,"Burj Views C, Burj Views, Downtown Dubai, Dubai",Apartment,25.1907543,55.2814412
Brand New! | Modern 1 Br | Binghatti Creek,1,1,796 sqft,19361,"Marina Quays West, Marina Quays, Dubai Marina, Dubai",Apartment,25.0759432,55.13575119999999
Fully Equipped | Vast | Relaxing,1,2,882 sqft,19361,"DAMAC Heights, Dubai Marina, Dubai",Apartment,25.08728,55.145627
Magnificent Studio In Business Bay,1,1,778 sqft,19361,"Bahar 6, Bahar, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0780657,55.1364058
City Center Serenity: Rent A 1Br In Business Bay,1,1,735 sqft,19361,"Iris Blue, Dubai Marina, Dubai",Apartment,25.0851904,55.14474019999999
Charming 1-Bedroom Apartment In The Heart Of Jvc | Fully Furnished | Ready To Move In,1,2,807 sqft,19361,"Botanica Tower, Dubai Marina, Dubai",Apartment,25.0850426,55.1424596
Brand New! | Modern 1 Br | Binghatti Creek,1,1,796 sqft,19361,"Marina Quays West, Marina Quays, Dubai Marina, Dubai",Apartment,25.0759432,55.13575119999999
Prime 1Br At Canal Residence West Dubai Sports City By Deluxe Holiday Homes,2,2,"1,144 sqft",19400,"Bella Rose, Dubai Science Park, Dubai",Apartment,25.070378,55.2452482
Studio Close To Souq Extra  | With Bills,2,2,"1,617 sqft",19400,"23 Marina, Dubai Marina, Dubai",Apartment,25.0897173,55.1506471
Fully Furnished | Modern Community | Jogging Track,1,1,"1,053 sqft",19470,"The Palm Tower, Palm Jumeirah, Dubai",Apartment,25.1137853,55.1399566
Fountain View | Fabulous | Tourist Destination,1,1,742 sqft,19490,"Beach Vista 1, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0987642,55.1401943
Very Very Beautiful Furnished Studio Available On Monthly Basis,1,2,"1,083 sqft",19499,"Avani Palm View Dubai Hotel & Suites, Dubai Media City, Dubai",Apartment,25.0980346,55.1570546
Elegant 2Bedroom With Balcony In Dubai Marina,1,2,893 sqft,19499,"DAMAC Heights, Dubai Marina, Dubai",Apartment,25.08728,55.145627
"Studio, Building 91, Discovery Gardens",2,2,"1,557 sqft",19499,"The Atria Residences, The Atria, Business Bay, Dubai",Apartment,25.1806304,55.2637507
Exclusive Offer  | Fully Furnished | Luxury | Big Size | Huge Balcony | No Commission,2,3,"1,260 sqft",19499,"Al Mankhool, Bur Dubai, Dubai",Hotel Apartment,25.2459667,55.29499759999999
Brand New Studio Next To Financial Center | Free Housekeeping,2,3,"1,260 sqft",19499,"Al Mankhool, Bur Dubai, Dubai",Hotel Apartment,25.2459667,55.29499759999999
2Bd + Maid | Burj Khalifa View | Bills Included,1,1,969 sqft,19500,"Boulevard Central 2, Boulevard Central, Downtown Dubai, Dubai",Apartment,25.191536,55.273404
2Bd + Maid | Burj Khalifa View | Bills Included,1,1,969 sqft,19500,"Boulevard Central 2, Boulevard Central, Downtown Dubai, Dubai",Apartment,25.191536,55.273404
Studio In Business Bay,1,1,861 sqft,19500,"The Address Dubai Mall, Downtown Dubai, Dubai",Apartment,25.1998429,55.277452
Ideal 1Br At The Pulse Residence Icon A1 Dubai South By Deluxe Holiday Homes,1,2,773 sqft,19500,"Bahar 6, Bahar, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0780657,55.1364058
"Stunning, Unique And Very Upscale ! Amazing View ! Pool, Gym, Kids Play Area, Parking Access",2,2,"1,155 sqft",19500,"Bahar 1, Bahar, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0783817,55.1357753
Luxury 1Br Apartment | Sobha Creek Vista | No Commission,2,2,"1,062 sqft",19500,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
Serene 2 Bedroom Apartment In Dubai Silicon Oasis,3,3,"1,926 sqft",19500,"Rimal 5, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0760791,55.1330137
Homesgetaway -1Br  Apartment In Loft West Tower,2,2,"1,140 sqft",19500,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour, Dubai",Apartment,25.2084896,55.3472011
Luxury 2-Bedroom @ Business Bay,1,1,807 sqft,19500,"The Address Dubai Mall, Downtown Dubai, Dubai",Apartment,25.1998429,55.277452
Aliving Supreme 1Br Vera Residence Business Bay,1,2,862 sqft,19500,"Downtown Views, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
Cozy 2 Bedroom | Fully Furnished | Bills Included,2,2,"1,174 sqft",19500,"Travo Tower B, Travo, The Views, Dubai",Apartment,25.0908933,55.17184049999999
Lavish 1 Bedroom | Newly Furnished | All Bills Included,1,1,"1,156 sqft",19500,"Bahar 1, Bahar, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0783817,55.1357753
Bright Apartment | Modern Furniture | Studio One,2,2,"1,347 sqft",19500,"17 Icon Bay, Dubai Creek Harbour, Dubai",Apartment,25.2039806,55.3457334
"3 Br With En-Suite Bathrooms,  Marina View, Prime Spot",1,1,944 sqft,19500,"Al Majara 2, Al Majara, Dubai Marina, Dubai",Apartment,25.0733523,55.136969
City View | Weekly Cleaning | Bills Included,1,1,753 sqft,19500,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai",Apartment,25.0867931,55.1475512
Stunning 2Br In Royal Amwaj Residences North Palm Jumeirah By Deluxe Holiday Homes,1,1,726 sqft,19500,"Marquise Square, Business Bay, Dubai",Apartment,25.1850643,55.27587699999999
